subject,video,onset,offset,emotion
1,EP02_01f,45,85,happiness
1,EP03_02,130,160,others
1,EP04_02,20,75,others
1,EP04_03,30,55,others
1,EP04_04,22,65,others
1,EP19_01,25,65,others
1,EP19_03f,80,160,others
1,EP19_05f,395,445,disgust
1,EP19_06f,35,160,disgust
2,EP01_11f,45,95,repression
2,EP02_04f,30,140,repression
2,EP03_02f,15,135,repression
2,EP06_01f,55,154,repression
2,EP06_02f,35,110,repression
2,EP08_04,15,105,others
2,EP09_01,25,124,happiness
2,EP09_06f,10,150,others
2,EP09_10,25,65,others
2,EP11_01,15,105,surprise
2,EP13_04,20,75,surprise
2,EP14_01,80,125,surprise
2,EP15_04,25,95,others
3,EP01_2,50,90,surprise
3,EP07_03,15,75,others
3,EP07_04,20,105,disgust
3,EP08_1,10,90,others
3,EP09_03,60,120,disgust
3,EP18_06,25,125,disgust
3,EP19_08,100,140,disgust
4,EP12_02f,355,405,disgust
4,EP13_02f,50,110,others
4,EP13_06f,70,160,disgust
4,EP19_01f,190,225,others
5,EP02_07,35,100,surprise
5,EP03_01,40,100,happiness
5,EP03_06,32,82,surprise
5,EP03_07,40,82,others
5,EP04_05,15,65,surprise
5,EP04_06,5,90,surprise
5,EP05_03,50,140,others
5,EP05_09,48,135,others
5,EP06_10,84,135,others
5,EP07_01,48,105,others
5,EP08_05,5,70,others
5,EP09_05f,68,122,disgust
5,EP12_03f,10,60,surprise
5,EP12_06,45,120,others
5,EP13_04f,35,110,others
5,EP13_06,15,75,others
5,EP16_03f,38,137,others
5,EP16_04f,140,180,others
5,EP19_03,5,57,others
6,EP01_01,80,135,happiness
6,EP02_31,98,147,surprise
6,EP10_08,115,160,others
6,EP15_02,55,105,surprise
6,EP16_05,93,150,disgust
7,EP01_01,78,155,disgust
7,EP03_04,10,75,others
7,EP06_01,14,67,others
7,EP06_02_01,10,90,disgust
7,EP06_02_02,35,90,disgust
7,EP08_02,140,190,disgust
7,EP15_01,35,90,disgust
7,EP18_01,5,50,others
7,EP18_03,10,95,others
8,EP12_07f,25,117,others
8,EP12_08f,70,169,others
8,EP13_01f,48,125,repression
9,EP02_01f,20,90,happiness
9,EP05_02,65,195,others
9,EP05_03,90,155,others
9,EP05_05,45,95,happiness
9,EP06_01f,65,185,repression
9,EP06_02f,35,130,happiness
9,EP09_04,25,145,repression
9,EP09_05,25,110,repression
9,EP09f,25,85,happiness
9,EP13_01,30,120,repression
9,EP15_05,55,110,happiness
9,EP17_08,5,75,repression
9,EP18_03,10,80,others
10,EP06_01f,10,100,others
10,EP08_01f,75,140,others
10,EP10_01f,110,170,others
10,EP11_01,30,100,others
10,EP11_01f,35,90,others
10,EP12_02f,25,85,others
10,EP12_03f,25,110,others
10,EP12_04,60,145,others
10,EP13_02f,40,130,others
10,EP13_03f,10,75,others
10,EP16_02f,20,109,others
10,EP18_01f,10,72,others
10,EP19_04f,80,125,others
11,EP02_06f,70,115,others
11,EP08_01f,95,145,disgust
11,EP12_03f,90,184,others
11,EP13_02f,50,140,disgust
11,EP13_03f,5,80,disgust
11,EP13_05f,15,110,disgust
11,EP15_01f,55,110,others
11,EP15_04f,60,95,others
11,EP18_03f,55,130,others
11,EP19_03f,10,150,others
12,EP01_02,30,105,disgust
12,EP02_05,40,139,surprise
